Sample	Lowest ID	Broad group	Stage	Count	Fraction split	Representative count	Density in water column (ind./m3)
D1244-MT1	Hyperidea	Amphipod	Adult	2	1	2	
D1244-MT1	Nanomia sp.	Siphonophore	Polygastric	1	1	1	
D1244-MT1	Beroe cucumis	Ctenophore	Adult	1	1	1	
D1244-MT1	Thalia democratica	Salp	Oozooid	1	1	1	
D1244-MT1	Chelophyes appendiculata	Siphonophore	Polygastric	1	1	1	
D1242-T1	Sagitta hexaptera	Chaetognath	Adult				
D1242-T1	Scina sp.	Amphipod	Adult				
D1242-T1	Cyclothone signata	Actinopteri	Adult				
D1242-T1	Arietellus plumifer	Copepod	Adult				
D1242-T1	Gaussia princeps	Copepod	Adult				
D1242-T1	Euphausia pacifica	Krill	Adult				
D1242-T1	Euphausia pacifica	Krill	Furcillia				
D1242-T1	Euphausiacea	Krill	Metanauplii				
D1242-T1	Nematoscelis difficilis	Krill	Adult				
D1242-T1	Vibilia armata	Amphipod	Adult				
D1242-T1	Metridia pacifica	Copepod	Adult				
D1242-T1	Lensia fowleri	Siphonophore	Adult				
D1242-T1	Chuniphyes multidentata	Siphonophore	Adult				
D1242-T1	Colobonema sericeum	Hydromedusa	Adult				
D1242-T1	Chelophyes appendiculata	Siphonophore	Polygastric				
D1242-T1	Desmophyes annectens	Siphonophore	Polygastric				
D1242-T1	Munnopsidae	Isopod	Adult				
D1242-T1	Alciopidae	Polychaete	Adult				
D1242-T1	Aegina sp.	Hydromedusa	Adult				
D1242-T1	Centropages bradyi	Copepod	Adult				
D1242-T1	Pleuromamma spp.	Copepod	Adult				
D1242-T1	Pleurobrachia bachei	Ctenophore	Adult				
D1242-T1	Stylocheiron longicorne	Krill	Adult				
D1242-T1	Pasiphaea pacifica	Decapod	Adult				
D1242-T1	Pseudosagitta maxima	Chaetognath	Adult				
D1242-T1	Eudoxoides mitra	Siphonophore	Adult				
D1242-T1	Conchoecia spp.	Ostracod	Adult				
D1242-T1	Heterorhabdus sp.	Copepod	Adult				
D1242-T1	Calanus pacificus	Copepod	Adult				
D1242-T1	Eucalanus californicus	Copepod	Adult				
D1242-T1	Gaetanus spp. (pileatus + brevispinus)	Copepod	Adult				
D1242-T1	Conchoecissa ametra	Ostracod	Adult				
