"OTU" "Feature_name" "179_300Apole_091_102_S1_L001" "179_304Crase_079_114_S2_L001" "179_305Crase_067_126_S3_L001" "179_309Forsk_055_138_S4_L001" "179_310Gymno_043_150_S5_L001" "179_311Lychn_031_162_S6_L001" "179_313Marru_019_174_S7_L001" "179_314Praya_007_186_S8_L001" "179_315Resom_090_103_S9_L001" "179_316Resom_078_115_S10_L001" "179_317Vogti_066_127_S11_L001" "179_319Frill_054_139_S12_L001" "179_320Forsk_042_151_S13_L001"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea__ 85.83_120.00_ 83.74_NA" "9bda44e3abe2416ba16fcde401648eab" "0" "0" "0" "0" "0" "12" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea__ 85.83_120.00_ 83.74_NA" "56e6fdaa44c5f65c40ef929fb0896ac5" "0" "0" "0" "0" "0" "12" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_SAR_Stramenopiles_Bicosoecida_CH1-2B-3__95.73_164.00_ 88.96_NA_NA" "d070a104ffb6b39e569ed492c8b8151f" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "11"
"Eukaryota__90.74_162_86.32___NA_NA_NA_NA" "a888d68f899da0944512ba82c40a1cab" "11" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Anthoathecata__98.46_110.00_ 90.44_NA_NA" "9a5176b5637a71a460182be33ac00287" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "11" "0" "0"
"Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa__97.96_134.00_ 86.38_NA_NA" "62811612edb9959e7db021e7af735305" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "11" "0" "0"
"Eukaryota_Dinoflagellata_Dinophyceae_Gonyaulacales__94.4_94_ 70.69_NA_NA_NA" "57a5b9b9f32fc92601b680d25c1d7575" "11" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea__ 95.29_150.00_ 88.61_NA" "560df53bd78ac6a2366f6eff3b900ba4" "0" "0" "0" "0" "0" "11" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea__ 97.03_101.00_ 88.94_NA" "320c47f2f9280d547666fff4e03a7fe3" "0" "0" "0" "0" "0" "11" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_SAR_Ochrophyta_Ochromonadales_Paraphysomonas__99.4_166.00_ 91.49_NA_NA" "f748117a4bff7460eb29e4c5ac0a345e" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "10" "0" "0"
"Eukaryota_Bilateria__91.98_162_86.40__NA_NA_NA_NA" "ec1490bb59affb047286e9eaa1958c6d" "0" "0" "0" "0" "0" "10" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Anthoathecata__98.46_110.00_ 90.44_NA_NA" "9e103ffd763652a3cc6dda133ab77400" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "10" "0" "0"
"Eukaryota_Ascomycota_Pezizomycotina_Eurotiales_Aspergillaceae__100_162.00_ 91.76_NA_NA" "8ee39bbdbd53b2c053322b7872701dc5" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "10" "0" "0"
"Eukaryota_SAR_Stramenopiles_Ochrophyta_Bacillariophyceae_Cocconeis__100.00_167.00_ 73.20_NA" "6fc3eaaf02982e6bcb1de2727e82d88a" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "10"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea__ 89.62_183.00_ 85.08_NA" "1710cf4d3e46f919c8a34dd6bdcd7cfb" "0" "0" "0" "0" "0" "10" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group I_uncultured eukaryote_uncultured eukaryote_NA_ 98.77_162.00_72.90" "ae628548875e31efddf1d5bb84bb8892" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "9"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__96.91_162.00_ 71.89_NA_NA" "85d79e35e27af37dd1d1f001579a6c09" "9" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Bilateria__92.13_127_86.03__NA_NA_NA_NA" "844a7542ef404cbc511bd4e0e73b2b56" "0" "0" "0" "0" "0" "9" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__95.68_162.00_ 71.31_NA_NA" "3dd44f762ccca74f0714c8961fadafb3" "9" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
